,Ticker,Start,End,NA_Count,Days,Percent_NA
422,EMN,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
423,MOS,2016-01-04,2022-12-30,0,2552,0.0
424,ECL,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
425,CE,2016-01-04,2022-12-30,0,2552,0.0
426,VMC,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
427,MLM,2016-01-04,2022-12-30,0,2552,0.0
428,WRK,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
430,BALL,2022-05-10,2022-12-30,0,234,0.0
431,IP,2016-01-04,2022-12-30,0,2552,0.0
432,AVY,2016-01-04,2022-12-30,216,2552,0.0013224921630094044
433,SEE,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
434,PKG,2016-01-04,2022-12-30,0,2552,0.0
435,STLD,2016-01-04,2022-12-30,0,2552,0.0
436,NUE,2016-01-04,2022-12-30,0,2552,0.0
437,NEM,2016-01-04,2022-12-30,0,2552,0.0
438,FCX,2016-01-04,2022-12-30,0,2552,0.0
439,IRM,2016-01-04,2022-12-30,1188,2552,0.007273706896551724
440,DLR,2016-01-04,2022-12-30,180,2552,0.0011020768025078369
441,VTR,2016-01-04,2022-12-30,972,2552,0.00595121473354232
442,CPT,2016-01-04,2022-12-30,2976,2552,0.01822100313479624
443,BXP,2016-01-04,2022-12-30,240,2552,0.001469435736677116
444,PLD,2016-01-04,2022-12-30,468,2552,0.0028653996865203764
445,SBAC,2016-01-04,2022-12-30,0,2552,0.0
446,CCI,2016-01-04,2022-12-30,240,2552,0.001469435736677116
447,REG,2016-01-04,2022-12-30,3828,2552,0.0234375
449,VICI,2018-03-01,2022-12-30,4392,1765,0.03888101983002833
450,EQR,2016-01-04,2022-12-30,1020,2552,0.006245101880877743
451,FRT,2016-01-04,2022-12-30,1248,2552,0.007641065830721003
452,O,2016-01-04,2022-12-30,1716,2552,0.01050646551724138
453,EQIX,2016-01-04,2022-12-30,0,2552,0.0
454,WY,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
455,SPG,2016-01-04,2022-12-30,144,2552,0.0008816614420062696
456,MAA,2016-01-04,2022-12-30,1068,2552,0.0065389890282131664
457,AVB,2016-01-04,2022-12-30,468,2552,0.0028653996865203764
458,EXR,2016-01-04,2022-12-30,420,2552,0.002571512539184953
459,AMT,2016-01-04,2022-12-30,0,2552,0.0
460,KIM,2016-01-04,2022-12-30,5148,2552,0.03151939655172414
461,HST,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
462,WELL,2018-02-28,2022-12-30,936,1766,0.008281426953567384
463,PSA,2016-01-04,2022-12-30,120,2552,0.000734717868338558
465,ARE,2016-01-04,2022-12-30,1320,2552,0.008081896551724138
466,ESS,2016-01-04,2022-12-30,264,2552,0.0016163793103448276
467,PEAK,2019-11-05,2022-12-30,288,1151,0.003909643788010426
468,CBRE,2018-03-28,2022-12-30,0,1738,0.0
469,DUK,2016-01-04,2022-12-30,984,2552,0.006024686520376176
470,AEP,2016-01-04,2022-12-30,696,2552,0.004261363636363636
471,NRG,2016-01-04,2022-12-30,0,2552,0.0
472,NEE,2016-01-04,2022-12-30,228,2552,0.00139596394984326
473,EXC,2016-01-04,2022-12-30,300,2552,0.001836794670846395
475,XEL,2016-01-04,2022-12-30,6072,2552,0.037176724137931036
476,EVRG,2018-06-11,2022-12-30,2484,1663,0.023338845460012025
477,EIX,2016-01-04,2022-12-30,108,2552,0.0006612460815047022
